PKI	PK	PMID	ACT_VALUE (uM)	ACT_TYPE	MoA
abemaciclib	CDK4	24919854	0.00059999999947	Ki	INHIBITOR
abemaciclib	CDK6	24919854	0.002400000001594	Ki	INHIBITOR
acalabrutinib	BTK	26641137	0.00509999793205	IC50	INHIBITOR
afatinib	EGFR	18408761	0.0001	Kd	INHIBITOR
afatinib	ERBB2	18408761	0.005011872336273	Kd	INHIBITOR
afatinib	ERBB4	22888144	0.006309573444802	Kd	INHIBITOR
alectinib	ALK	23639470	0.001899998598659	IC50	INHIBITOR
alectinib	RET	23639470	0.004799997768363	IC50	INHIBITOR
alpelisib	PIK3CA	25544637			
amlexanox	IKBKE	27646933			
amlexanox	TBK1	27646933	1	IC50	
apatinib	KDR	20923544			
apatinib	KIT	20923544	0.428999964569677	IC50	
apatinib	PDGFRB	20923544			
avapritinib	KIT	33453089	0.000269153480393	IC50	INHIBITOR
avapritinib	PDGFRA	33453089			
axitinib	FLT1	32402135			
axitinib	FLT4	32402135			
axitinib	KDR	27566443			
baricitinib	JAK1	20363976	0.005900001049951	IC50	INHIBITOR
baricitinib	JAK2	20363976	0.00569999708784	IC50	INHIBITOR
benzbromarone	MAPK14	31926251			
binimetinib	MAP2K1	32100585			
binimetinib	MAP2K2	32100585			
bosutinib	ABL1	33214787	2.88403150312661E-05	Kd	INHIBITOR
bosutinib	HCK	12543790	0.003388441561392	Kd	INHIBITOR
bosutinib	LYN	12543790	0.004168693834703	Kd	INHIBITOR
bosutinib	SRC	33214787	0.001	Kd	INHIBITOR
brigatinib	ALK	27780853	0.000600000361638	IC50	INHIBITOR
brigatinib	ROS1	27780853	0.001899998598659	IC50	
cabozantinib	AXL	33598435			
cabozantinib	KDR	28477875			
cabozantinib	MET	28477875	0.001299999244682	IC50	INHIBITOR
cabozantinib	RET	28477875	0.005200000890033	IC50	INHIBITOR
ceritinib	ALK	33692962	0.000200000075217	IC50	INHIBITOR
cetuximab	EGFR	33664437	0.000389045144994	Kd	ANTIBODY BINDING
cobimetinib	MAP2K1	33539944			
cobimetinib	MAP2K2	33539944			
copanlisib	PIK3CA	24170767			
copanlisib	PIK3CB	24170767			
copanlisib	PIK3CD	24170767			
copanlisib	PIK3CG	24170767			
crizotinib	ALK	33692962	0.000741310241301	Ki	INHIBITOR
crizotinib	MET	33676017	0.000549540873858	Kd	INHIBITOR
crizotinib	ROS1	33676017	0.004073802778041	Kd	
dabrafenib	BRAF	33670365	0.00070000074141	IC50	INHIBITOR
dacomitinib	EGFR	33651475	0.0059999999947	IC50	INHIBITOR
dacomitinib	ERBB2	33651475	0.04569999999265	IC50	INHIBITOR
dacomitinib	ERBB4	33651475	0.073700000023919	IC50	INHIBITOR
dasatinib	ABL1	30069624	0.000251188643151	IC50	INHIBITOR
dasatinib	BLK	28670978	0.000208929613085	Kd	
dasatinib	EPHA2	30069624	0.000851138038202	Kd	INHIBITOR
dasatinib	FGR	25709401	0.000501187233627	Kd	
dasatinib	FRK	25709401	0.000309029543251	Kd	
dasatinib	FYN	31526816	0.000794328234724	Kd	INHIBITOR
dasatinib	HCK	25709401	0.000346736850453	Kd	
dasatinib	KIT	30069624	0.000575439937337	Kd	INHIBITOR
dasatinib	LCK	31270272	0.000199526231497	Kd	INHIBITOR
dasatinib	LYN	31526816	0.000575439937337	Kd	
dasatinib	PDGFRA	30069624			
dasatinib	PDGFRB	30069624			
dasatinib	SRC	30069624	0.000208929613085	Kd	INHIBITOR
dasatinib	YES1	31856375			
duvelisib	PIK3CD	24211136			
duvelisib	PIK3CG	24211136			
encorafenib	BRAF	33641072	0.000470000153744	IC50	INHIBITOR
entrectinib	ALK	33489827	0.012022644346174	IC50	INHIBITOR
entrectinib	NTRK1	33489827	0.001	IC50	INHIBITOR
entrectinib	NTRK2	33489827	0.003019951720402	IC50	INHIBITOR
entrectinib	NTRK3	33489827	0.005011872336273	IC50	INHIBITOR
entrectinib	ROS1	33489827	0.007079457843841	IC50	INHIBITOR
erdafitinib	FGFR1	32935605	0.001200051820204	IC50	INHIBITOR
erdafitinib	FGFR2	32935605	0.002499769702179	IC50	INHIBITOR
erdafitinib	FGFR3	32935605	0.002999853181191	IC50	INHIBITOR
erdafitinib	FGFR4	32935605	0.00570033002219	IC50	INHIBITOR
erlotinib	EGFR	33657444	0.000602559586074	IC50	INHIBITOR
everolimus	MTOR	32512849	0.001995262314969	IC50	
fedratinib	JAK2	32343799	0.003019951720402	IC50	INHIBITOR
fostamatinib	SYK	31809006			
gefitinib	EGFR	32342201	0.000398107170553	Ki	INHIBITOR
gilteritinib	FLT3	32208491	0.004999999996131	IC50	INHIBITOR
ibrutinib	BTK	32532074	0.000719999557655	Ki	INHIBITOR
icotinib	EGFR	32274129	0.002000000752175	IC50	INHIBITOR
imatinib	ABL1	11287972	0.001096478196143	Kd	INHIBITOR
imatinib	KIT	23775962	0.012882495516931	Kd	INHIBITOR
imatinib	PDGFRA	32656011			
imatinib	PDGFRB	32500973			
lapatinib	EGFR	15163842	0.000912010839356	Kd	INHIBITOR
lapatinib	ERBB2	15163842	0.007079457843841	Kd	INHIBITOR
larotrectinib	NTRK1	31118670	0.006500000005345	IC50	INHIBITOR
larotrectinib	NTRK2	31118670	0.008100000002263	IC50	INHIBITOR
larotrectinib	NTRK3	31118670	0.010599999993538	IC50	INHIBITOR
lenvatinib	FGFR1	32817132	0.046000004433086	IC50	INHIBITOR
lenvatinib	FGFR2	32817132			
lenvatinib	FGFR3	32817132			
lenvatinib	FGFR4	32817132			
lenvatinib	FLT1	32817132			
lenvatinib	FLT4	32817132			
lenvatinib	KDR	32817132			
lenvatinib	KIT	32817132	0.1	IC50	INHIBITOR
lenvatinib	PDGFRA	32817132			
lenvatinib	RET	32817132	0.001513561248436	Ki	INHIBITOR
lorlatinib	ALK	32416346	0.000110000000011	Ki	INHIBITOR
lorlatinib	ROS1	33489815;32416346	0.000499999999959	IC50	INHIBITOR
midostaurin	FLT3	32392175	0.010964781961432	Kd	INHIBITOR
midostaurin	KDR	31967735			
midostaurin	KIT	32392175	0.007762471166287	Kd	
midostaurin	PDGFRA	31967735			
midostaurin	PDGFRB	31967735			
midostaurin	PRKCA	12124173			
midostaurin	PRKCB	12124173			
midostaurin	PRKCD	12124173			
midostaurin	PRKCE	12124173			
midostaurin	PRKCG	12124173			
midostaurin	PRKCH	12124173			
midostaurin	PRKCI	12124173			
midostaurin	PRKCQ	12124173			
midostaurin	PRKCZ	12124173			
midostaurin	PRKD1	12124173			
midostaurin	PRKD3	12124173			
necitumumab	EGFR	21154125			ANTIBODY BINDING
neratinib	EGFR	26089701	0.092000043466206	IC50	INHIBITOR
neratinib	ERBB2	26089701	0.05900001049951	IC50	INHIBITOR
neratinib	ERBB4	26089701	0.002399997981573	Kd	INHIBITOR
netarsudil	ROCK1	28609185			
netarsudil	ROCK2	28609185	0.004199997191604	Ki	INHIBITOR
nilotinib	ABL1	16721371	0.003630780547701	Kd	INHIBITOR
nintedanib	FGFR1	24782550	0.037999986264479	IC50	INHIBITOR
nintedanib	FGFR2	24782550	0.346736850452532	Kd	INHIBITOR
nintedanib	FGFR3	24782550	0.093325430079699	Kd	INHIBITOR
nintedanib	FLT1	24782550			
nintedanib	FLT4	24782550			
